module	gene
homeostatic	P2RY12
homeostatic	TMEM119
homeostatic	SALL1
homeostatic	HEXB
homeostatic	CX3CR1
homeostatic	GPR34
homeostatic	SLC2A5
homeostatic	BIN1
homeostatic	CSF1R
homeostatic	TREM2
m1_inflammatory	IL1B
m1_inflammatory	TNF
m1_inflammatory	IL6
m1_inflammatory	CXCL9
m1_inflammatory	CXCL10
m1_inflammatory	CXCL11
m1_inflammatory	CCL2
m1_inflammatory	CCL3
m1_inflammatory	CCL4
m1_inflammatory	NFKBIA
m1_inflammatory	STAT1
m1_inflammatory	IRF1
m1_inflammatory	NOS2
m1_inflammatory	CD86
m2_immunoregulatory	MRC1
m2_immunoregulatory	CD163
m2_immunoregulatory	MSR1
m2_immunoregulatory	IL10
m2_immunoregulatory	TGFB1
m2_immunoregulatory	ARG1
m2_immunoregulatory	CCL18
m2_immunoregulatory	MAFB
m2_immunoregulatory	VSIG4
m2_immunoregulatory	FOLR2
m2_immunoregulatory	MARCO
interferon	ISG15
interferon	IFIT1
interferon	IFIT2
interferon	IFIT3
interferon	MX1
interferon	OAS1
interferon	OAS2
interferon	GBP1
interferon	STAT1
interferon	IRF7
phagocytic_lipid	APOE
phagocytic_lipid	APOC1
phagocytic_lipid	LPL
phagocytic_lipid	SPP1
phagocytic_lipid	GPNMB
phagocytic_lipid	TREM2
phagocytic_lipid	CTSD
phagocytic_lipid	CTSB
phagocytic_lipid	LGALS3
phagocytic_lipid	FABP5
phagocytic_lipid	ABCA1
antigen_presentation	HLA-DRA
antigen_presentation	HLA-DRB1
antigen_presentation	HLA-DPA1
antigen_presentation	HLA-DPB1
antigen_presentation	CD74
antigen_presentation	CIITA
antigen_presentation	B2M
antigen_presentation	TAP1
hypoxia_stress	HIF1A
hypoxia_stress	VEGFA
hypoxia_stress	CA9
hypoxia_stress	LDHA
hypoxia_stress	BNIP3
hypoxia_stress	NDRG1
hypoxia_stress	SLC2A1
hypoxia_stress	HMOX1
complement	C1QA
complement	C1QB
complement	C1QC
complement	C3
complement	CFB
complement	SERPING1
proliferation	MKI67
proliferation	TOP2A
proliferation	CENPF
proliferation	UBE2C
proliferation	TYMS
proliferation	PCNA
